id;nama_paket;metode_pengadaan;jenis_pengadaan;pagu;bulan;status
10;Pengawasan Rehabilitasi Gedung dan Prasarana Bakorwil Malang Provinsi Jawa Timur;Seleksi;Jasa Konsultansi;240000000;6;1
11;Konstruksi Fisik Rehabilitasi Gedung Kantor Cabang Dinas Kehutanan Malang Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;872000000;6;1
12;Pemeliharaan Tanggul Kritis Sungai Kloang Desa Plakplak Kecamatan Pegantenan Kabupaten Pamekasan (UPT PSDA WS Kep. Madura);Tender;Pekerjaan Konstruksi;827000000;6;1
13;Pembangunan IPAL Komunal Gg. Brojo Desa Sukapura, Kec. Sukapura, Kab. Probolinggo;Tender;Pekerjaan Konstruksi;1500000000;7;1
14;Detail Engineering Design (DED) Pelabuhan Jember;Seleksi;Jasa Konsultansi;400000000;6;1
16;Penyusunan dokumen identifikasi saluran lintas kab./kota di Jawa Timur;Seleksi;Jasa Konsultansi;400000000;6;1
17;Peningkatan Kualitas Kawasan Permukiman Kumuh di Desa Modopuro, Kec. Mojosari, Kab. Mojokerto;Tender;Pekerjaan Konstruksi;500000000;8;1
18;Peningkatan Kualitas Kawasan Permukiman Kumuh di Kel Satreyan, Kec. Kanigoro, Kab. Blitar;Tender;Pekerjaan Konstruksi;500000000;8;1
19;RTBL Kawasan Pusat Kota Pamekasan;Seleksi;Jasa Konsultansi;650000000;2;1
20;Cleaning Service Kantor Dinas Perkebunan;Tender;Jasa Lainnya;291060000;3;1
21;Jasa Outsourcing Tenaga Pengamanan Kantor;Tender;Jasa Lainnya;400000000;2;1
23;Belanja Jasa Tenaga Keamanan - Penyediaan Jasa Pelayanan Umum Kantor - UPT K2 Surabaya;Tender;Jasa Lainnya;252000000;2;1
24;BELANJA JASA CLEANING SERVICE;Tender;Jasa Lainnya;1075278400;2;1
25;Studi Manual Operasi dan Pemeliharaan Pompa dan Pintu Banjir Sungai Kemuning di Kabupaten Sampang ( Bidang PSDA );Tender;Jasa Konsultansi;200000000;3;1
26;Belanja Barang dan Jasa BLUD (Belanja Kawat / Faksimili / Internet / TV Berlangganan : Langganan Akses Clinical Literature 25 Spesialis / Departemen);Tender;Jasa Lainnya;277000000;2;1
27;Perencanaan Pembangunan Ruang makan SMAN 5 Taruna Brawijaya Jawa Timur Kapasitas 200 siswa;Seleksi;Jasa Konsultansi;644000000;1;1
28;Belanja Jasa Tenaga Kebersihan;Tender;Jasa Lainnya;365473830;2;1
29;Cleaning Service Dinas Penanaman Modal dan PTSP Provinsi Jawa Timur Tahun 2021 : 8.545 M² (sekre-TU);Tender;Jasa Lainnya;1230000000;2;1
30;Rehabilitasi Daerah Irigasi Arah Makam Bawah Desa Tersebar Kec. Tersebar Kab. Probolinggo (UPT PSDA WS Welang Pekalen);Tender;Pekerjaan Konstruksi;4029557400;5;1
31;BELANJA JASA DAN BLUD ( Biaya Pengisian Tabung Pemadam Kebakaran CF dan CO (5 kg, 7 kg, 10kg, 25kg);Tender;Barang;391000000;1;1
32;Pengawasan Rehabilitasi Gedung Dinas Pemberdayaan Masyarakat Desa Provinsi Jawa Timur;Seleksi;Jasa Konsultansi;900000000;2;1
33;Pengawasan Rehabilitasi Gedung Dinas Peternakan Provinsi Jawa Timur;Seleksi;Jasa Konsultansi;1264000000;2;1
34;Pengawasan Pembangunan Pemandian Air Panas Cangar;Seleksi;Jasa Konsultansi;250000000;2;1
35;Belanja Modal Peralatan Personal Computer;E-Purchasing;Barang;118938286;4;1
37;Belanja Jasa Konsultansi Berorientasi Layanan - Jasa Studi Penelitian dan Bantuan Teknik;Seleksi;Jasa Konsultansi;50000000;4;1
38;"Belanja Modal Personal Computer : Peningkatan Sarana dan Prasarana Disiplin Pegawai Sekretariat (	Laptop Core i5 )";E-Purchasing;Barang;180000000;4;1
39;"Belanja Modal Peralatan Personal Computer : Peningkatan Sarana dan Prasarana Disiplin Pegawai Sekretariat (	Printer Deskjet F4, Printer Deskjet A3 colour)";E-Purchasing;Barang;38000000;3;1
40;Pengadaan Personal Computer (P3M);E-Purchasing;Barang;30000000;3;1
41;Pengawasan Rehabilitasi Gedung Sekretariat Daerah Provinsi Jawa Timur;Seleksi;Jasa Konsultansi;100000000;7;1
42;Belanja Jasa Konsultansi Berorientasi Bidang - Pertambangan dan Energi;Seleksi;Jasa Konsultansi;100000000;4;1
44;Belanja Langganan Internet Service Provider LPSE (TU);E-Purchasing;Jasa Lainnya;180000000;1;1
45;Pengadaan bibit kakao untuk pengembangan kakao;Tender;Barang;627200000;10;1
46;Konstruksi Pembangunan SMK Negeri Maritim Kab. Lamongan;Tender;Pekerjaan Konstruksi;7066231000;10;1
47;Konstruksi Pembangunan SMKN Sukapura Probolinggo;Tender;Pekerjaan Konstruksi;1334276000;10;1
48;Pembangunan Pelabuhan Probolinggo;Tender;Pekerjaan Konstruksi;4770000000;8;1
49;Pemeliharaan pompa sungai Kemuning Kabupaten Sampang (UPT PSDA WS Kep. Madura);Tender;Jasa Lainnya;1700000000;9;1
50;Konstruksi Fisik Rehabilitasi Gedung dan Prasarana Bakorwil Malang Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;4430000000;8;1
52;Pembangunan Pelabuhan Bawean;Tender;Pekerjaan Konstruksi;3830000000;8;1
53;Pembangunan IPAL Komunal KPSPAL Desa Tunggul, Kec. Paciran, Kab. Lamongan;Tender;Pekerjaan Konstruksi;700000000;8;1
54;Pembangunan IPAL Komunal KPSPAL Desa Pakis Kembar, Kec. Pakis, Kab. Malang;Tender;Pekerjaan Konstruksi;700000000;8;1
55;Konstruksi Fisik Rehab Anjungan Jawa Timur di TMII;Tender;Pekerjaan Konstruksi;740000000;8;1
56;Konstruksi Fisik Rehabilitasi Gedung Sekretariat Daerah Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;600000000;7;1
58;Pembangunan Fisik Ruang makan SMAN 1 Bangil Pasuruan Kapasitas 200 siswa;Tender;Pekerjaan Konstruksi;1266000000;9;1
59;Biaya Pembangunan Fisik Ruang makan SMAN 2 Taruna Bhayangkara Jawa Timur Kapasitas 200 siswa;Tender;Pekerjaan Konstruksi;6392000000;8;1
60;Biaya Pembangunan Fisik Ruang makan SMAN 5 Taruna Brawijaya Jawa Timur Kapasitas 200 siswa;Tender;Pekerjaan Konstruksi;6692200000;8;1
61;Biaya Pengawasan Rehabilitasi Asrama SMA Negeri Olah Raga Sidoarjo;Seleksi;Jasa Konsultansi;140000000;8;1
62;Biaya Pembangunan Fisik ruang makan SMAN Taruna Nala Jawa Timur kapasitas 200 Siswa;Tender;Pekerjaan Konstruksi;1389000000;8;1
63;Biaya Konstruksi Rehabilitasi Toilet SMAN 3 Taruna Angkasa Jawa Timur;Tender;Pekerjaan Konstruksi;6476000000;8;1
65;Konstruksi Fisik Pembangunan Gedung Badan Kepegawaian Daerah Provinsi Jawa Timur;Tender;Pekerjaan Konstruksi;18608000000;7;1
66;Pembangunan Pelabuhan Boom Banyuwangi;Tender;Pekerjaan Konstruksi;4300000000;8;1
67;Pembangunan Pelabuhan Prigi;Tender;Pekerjaan Konstruksi;3708000000;8;1
69;Pembuatan Jalan Rigid Beton di UPT PPP BULU;Tender;Pekerjaan Konstruksi;1230000000;6;1
70;Pembangunan Pelabuhan Perikanan Pondokdadap;Tender;Pekerjaan Konstruksi;2000000000;4;1
71;Pembangunan Pelabuhan Perikanan Puger;Tender;Pekerjaan Konstruksi;2000000000;4;1
72;Manajemen Konstruksi Pembangunan Gedung Inspektorat Tahap II;Seleksi;Jasa Konsultansi;1600000000;3;1
